"Age","Gender","Signed_In","Ctr"
5,1,1,0.116666666666667
6,0,1,0.0260416666666667
6,1,1,0.0405797101449275
7,0,1,0.0477922077922078
7,1,1,0.0319651296715517
8,0,1,0.0285813492063492
8,1,1,0.0305473213955357
9,0,1,0.0268101493470952
9,1,1,0.0340270422078818
10,0,1,0.0324613510709016
10,1,1,0.0307357575907324
11,0,1,0.0283235896253648
11,1,1,0.0302667427268516
12,0,1,0.0305768629930403
12,1,1,0.0291383605391526
13,0,1,0.0315272582533292
13,1,1,0.0301924318335246
14,0,1,0.0299397274195859
14,1,1,0.029179875555343
15,0,1,0.030417311772088
15,1,1,0.0297243140441517
16,0,1,0.0291675644508775
16,1,1,0.0296752640474537
17,0,1,0.0303998335785696
17,1,1,0.0298855008927328
18,0,1,0.0179280481054181
18,1,1,0.0181455958766749
19,0,1,0.00994572206176153
19,1,1,0.0102022284721047
20,0,1,0.00998367857230002
20,1,1,0.00989910372206574
21,0,1,0.0102626362325475
21,1,1,0.0100005420250687
22,0,1,0.00966360594257342
22,1,1,0.00988273186996419
23,0,1,0.0099857530825691
23,1,1,0.00993032313554738
24,0,1,0.0102551178669342
24,1,1,0.00989925368670916
25,0,1,0.00987565083808659
25,1,1,0.00997372101123398
26,0,1,0.00989900109398086
26,1,1,0.00996499932895384
27,0,1,0.0101187429443248
27,1,1,0.0100669075512986
28,0,1,0.0101223492218441
28,1,1,0.0102720139639104
29,0,1,0.00994616037516925
29,1,1,0.0101548859441494
30,0,1,0.0101237940703429
30,1,1,0.0098131775582652
31,0,1,0.0102416609977118
31,1,1,0.0103002236437844
32,0,1,0.00996730365840656
32,1,1,0.0100615533280651
33,0,1,0.00994929230789503
33,1,1,0.00987952501217344
34,0,1,0.0102486449274623
34,1,1,0.00969220404706859
35,0,1,0.00987195461225611
35,1,1,0.0101018684457059
36,0,1,0.0099558458595373
36,1,1,0.00963363551391723
37,0,1,0.00986937313514111
37,1,1,0.0102802627451674
38,0,1,0.0100121669882773
38,1,1,0.00994671570589681
39,0,1,0.0100502570685522
39,1,1,0.010038679852718
40,0,1,0.010154847231786
40,1,1,0.0100390827055403
41,0,1,0.0100946367639312
41,1,1,0.00970858539528021
42,0,1,0.0100955110300473
42,1,1,0.0101105916580248
43,0,1,0.0098945257513906
43,1,1,0.0101700008604134
44,0,1,0.0105146771726087
44,1,1,0.00952403656949116
45,0,1,0.010062474744559
45,1,1,0.00991732859812797
46,0,1,0.0101129356168389
46,1,1,0.0100222784166
47,0,1,0.0101382896141435
47,1,1,0.00994363415391058
48,0,1,0.00997938275869509
48,1,1,0.00984423943966411
49,0,1,0.0101349287059397
49,1,1,0.00999839245572733
50,0,1,0.0103645871495137
50,1,1,0.0100920438407405
51,0,1,0.0101123298372807
51,1,1,0.009796825220775
52,0,1,0.0102399209458818
52,1,1,0.00991429200223848
53,0,1,0.0101284065522913
53,1,1,0.0101491017136956
54,0,1,0.010048910364548
54,1,1,0.010018957593889
55,0,1,0.0196842431146032
55,1,1,0.0195910231185171
56,0,1,0.0195175270268149
56,1,1,0.0197685028356711
57,0,1,0.0199883591031844
57,1,1,0.0199891656127733
58,0,1,0.0199902866513196
58,1,1,0.0202918361577085
59,0,1,0.0198052467542707
59,1,1,0.02040013608308
60,0,1,0.0202518625169673
60,1,1,0.0196726616598646
61,0,1,0.0206378415162314
61,1,1,0.0195412189367874
62,0,1,0.0205272320858565
62,1,1,0.0201135406813524
63,0,1,0.0201451516911367
63,1,1,0.020088776682691
64,0,1,0.0204052474370698
64,1,1,0.0206510641417474
65,0,1,0.0290249504528199
65,1,1,0.0304407818362343
66,0,1,0.0302622409993934
66,1,1,0.0299040013542833
67,0,1,0.0297860573382254
67,1,1,0.0302383468638398
68,0,1,0.0296497582474944
68,1,1,0.0303687598526887
69,0,1,0.0297735061057418
69,1,1,0.0291158865809369
70,0,1,0.0306425856694354
70,1,1,0.0300941797780616
71,0,1,0.0293743321371521
71,1,1,0.0302232588197454
72,0,1,0.0305264825304674
72,1,1,0.0296925559966112
73,0,1,0.0298688001466058
73,1,1,0.0311861005085319
74,0,1,0.0298137441572873
74,1,1,0.0310998763540462
75,0,1,0.029785030077659
75,1,1,0.0314512177804566
76,0,1,0.0302364010083865
76,1,1,0.0295410863815299
77,0,1,0.0297110820747051
77,1,1,0.0305973237412189
78,0,1,0.0299391487994119
78,1,1,0.0295969910811983
79,0,1,0.030879553546776
79,1,1,0.0301664337998969
80,0,1,0.0301450714906773
80,1,1,0.0297206119467816
81,0,1,0.029608133633225
81,1,1,0.0321824541287468
82,0,1,0.0296907891682794
82,1,1,0.0294371917898302
83,0,1,0.0277005550978152
83,1,1,0.0300368959506537
84,0,1,0.0284236543212803
84,1,1,0.0271106453186041
85,0,1,0.0296435632761723
85,1,1,0.0305757631736398
86,0,1,0.0300851843930786
86,1,1,0.0302903558596159
87,0,1,0.0288989777446243
87,1,1,0.029625758676971
88,0,1,0.0284272640475648
88,1,1,0.0344782753186623
89,0,1,0.0268643187330931
89,1,1,0.0261089937904926
